cwe_id,cwe_name,cwe_description,category,category_description,mitigation,applicable_languages,Reason_tag,Additional_tags
1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.",Ensure that automated optimizations do not compromise security assumptions by thoroughly reviewing optimization settings and results. Implement security testing and validation to verify that optimizations maintain security properties.,Language-agnostic,"The issue of insecure automated optimizations is fundamental to the language basics because it involves the alteration of code behavior at a basic level, potentially impacting syntax, control flow, and adherence to security-related coding standards. It's a code quality issue that affects multiple languages.",[]
1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.",Implement robust adversarial input detection mechanisms and input validation to ensure that the automated recognition system can handle or mitigate inputs that have been modified to deceive it.,Language-agnostic,"The CWE involves handling inputs that could be crafted to manipulate automated recognition systems, similar to how input validation and sanitization address malicious user inputs to prevent unintended behavior or exploits.",[]
104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.",Ensure that form beans extend the appropriate ActionForm subclass in the Validator framework to enforce robust input validation.,Java Language specific weakness,"This CWE is directly related to improper input validation, as it involves not using a validation framework to ensure inputs are correctly validated, which can lead to various security vulnerabilities.","['Web Development, API & Web Services']"
1041,Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that
					contain the same code.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.",Consolidate duplicate code into reusable functions or modules to improve maintainability and reduce errors.,Language-agnostic,"The use of redundant code is a code quality issue that affects maintainability and readability across all programming languages. It involves improper adherence to coding standards and can complicate the codebase, making it difficult to manage and increase the potential for errors.",[]
1042,Static Member Data Element outside of a Singleton Class Element,"The code contains a member element that is declared as static (but not final), in which
					its parent class element 
					is not a singleton class - that is, a class element that can be used only once in
					the 'to' association of a Create action.",Java Language specific weakness,Java Language specific weakness.,Ensure that static member variables are either final or that their parent class is a singleton to prevent unintended shared state.,Java,"This CWE is specific to Java as it deals with static member data elements, a concept that is particularly relevant in Java where static variables are shared across all instances of a class. This issue arises when static variables are used in classes that are not singletons, potentially leading to unexpected behavior due to shared state across different instances.",['Language Basics']
1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,"The product uses a data element that has an excessively large
					number of sub-elements with non-primitive data types such as structures or aggregated objects.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Break down complex data structures into smaller, manageable components. Ensure data models are designed with maintainability and scalability in mind. Consider using simpler data types or refactoring to reduce nesting and complexity.",Language-agnostic,"This CWE involves the design and management of data structures, which affects code quality and maintainability, making it a core issue of language basics. It impacts the readability and efficiency of code across different programming languages.",[]
1044,Architecture with Number of Horizontal Layers Outside of Expected Range,"The product's architecture contains too many - or too few -
					horizontal layers.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Design the software architecture with an appropriate number of horizontal layers to ensure maintainability, scalability, and performance. Regularly review and refactor the architecture to align with best practices.",Language-agnostic,"This CWE is categorized under 'Language Basics' because it pertains to the overall architectural design, which affects code quality, complexity, and maintainability across any programming language. The issue of having too many or too few horizontal layers in an architecture impacts the code structure and organization rather than specific language features.",[]
1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",CPP Language specific weakness,CPP Language specific weakness.,Ensure that all child classes of a parent class with a virtual destructor also declare their destructors as virtual to ensure proper destruction of objects and prevent undefined behavior.,C++,"This weakness specifically pertains to C++ and its object-oriented features, particularly the use of virtual destructors in inheritance hierarchies. The issue arises from not following C++ best practices for class design, leading to potential resource management and undefined behavior issues.","['Memory & Resource Management', 'Language Basics']"
1046,Creation of Immutable Text Using String Concatenation,The product creates an immutable text string using string concatenation operations.,Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complixity, maintanability and other code quality attributes.",Avoid excessive use of string concatenation to create large immutable strings. Use more efficient data structures or libraries (like StringBuilder in Java or StringBuffer in C++) designed for mutable strings to optimize performance and reduce memory overhead.,Language-agnostic,"String concatenation resulting in the creation of immutable text is a fundamental issue related to language basics, involving core language syntax and data types. It affects code quality, maintainability, and performance across various programming languages.",[]
1047,Modules with Circular Dependencies,"The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","To mitigate circular dependencies, refactor the code to break the circular references by introducing intermediary modules or redesigning module interactions to ensure acyclic dependencies. Use dependency injection or inversion of control where applicable.",Language-agnostic,"Circular dependencies are a fundamental issue in software design that can complicate code structure and maintainability, which falls under Language Basics. This issue is relevant across multiple programming languages.",[]
1048,Invokable Control Element with Large Number of Outward Calls,"The code contains callable control elements that
         contain an excessively large number of references to other
         application objects external to the context of the callable,
         i.e. a Fan-Out value that is excessively large.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Refactor the code to reduce dependencies by dividing the control elements into smaller, more manageable units, ensuring each unit has a clear and limited purpose. This reduces complexity and enhances maintainability.",Language-agnostic,"This CWE is related to code complexity and maintainability due to the high fan-out of control elements, which aligns with the Language Basics category, focusing on code quality issues.",[]
1049,Excessive Data Query Operations in a Large Data Table,"The product performs a data query with a large number of joins
					and sub-queries on a large data table.",Database,"SQL or NoSQL queries, ORM frameworks, transaction management.","Optimize database queries by minimizing the number of joins and sub-queries, use indexing effectively, and consider denormalization where appropriate.",Language-agnostic,"This CWE relates to the inefficient execution of database queries, which is directly connected to database management practices and does not rely on a specific programming language syntax or features.",['Data safety and security']
105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.","Ensure that every form field has an appropriate validator to check for valid, expected input. Use Struts validation framework or custom validation logic to enforce constraints on input data.",Java Language specific weakness,The issue pertains to insufficient input validation in a web framework (Struts) that is commonly used in Java-based applications. Ensuring input is validated is a critical step to prevent various vulnerabilities such as injection attacks.,"['Web Development, API & Web Services']"
1050,Excessive Platform Resource Consumption within a Loop,"The product has a loop body or loop condition that contains a control element that directly or
					indirectly consumes platform resources, e.g. messaging, sessions, locks, or file
					descriptors.",Memory & Resource Management,"Dynamic allocation, stack vs. heap usage, pointer arithmetic, resource leaks.","Optimize loop conditions and bodies to minimize resource usage, and ensure resources are properly released after use.",Language-agnostic,"The CWE involves the improper handling of platform resources like messaging, sessions, locks, or file descriptors within loops, which directly ties to resource management issues.","['Concurrency & Parallelism', 'Performance Optimization']"
1051,Initialization with Hard-Coded Network Resource Configuration Data,The product initializes data using hard-coded values that act as network resource identifiers.,Configuration Errors & Hardcoding,"Misconfigured environment, debug mode in production, Hardcoding credentials and secret data.","Avoid hard-coding network resource configuration data. Use configuration files, environment variables, or secure vaults to manage and retrieve these values.",Language-agnostic,"This weakness involves using hard-coded values for network configuration, which is a typical issue related to configuration management and hardcoding practices. It affects how software configurations are managed and maintained across different environments, leading to potential security and operational issues.",['Networking & Communication']
1052,Excessive Use of Hard-Coded Literals in Initialization,"The product initializes a data element using a hard-coded
					literal that is not a simple integer or static constant element.",Configuration Errors & Hardcoding,"Misconfigured environment, debug mode in production, Hardcoding credentials and secret data.","Avoid using hard-coded literals by externalizing configuration data into configuration files, environment variables, or secure storage solutions.",Language-agnostic,"The excessive use of hard-coded literals directly pertains to configuration errors and the practice of embedding data within code, making it challenging to modify or secure. This often leads to maintenance issues and vulnerabilities, especially when sensitive data is hard-coded.",['Language Basics']
1053,Missing Documentation for Design,The product does not have documentation that represents how it is designed.,Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Ensure comprehensive design documentation is created and maintained to facilitate understanding, maintenance, and future enhancements of the software product.",Language-agnostic,"The issue of missing documentation for design is fundamentally a code quality issue, impacting maintainability and understanding of the software regardless of the programming language used. It aligns with the category of Language Basics as it involves improper adherence to coding standards and affects overall code quality.",[]
1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,"The code at one architectural layer invokes code that resides
					at a deeper layer than the adjacent layer, i.e., the invocation skips at least one
					layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.",Ensure that each architectural layer only communicates with adjacent layers unless a vertical utility layer is explicitly designed for cross-layer communication.,Language-agnostic,"This CWE pertains to the structural organization of code within an application, focusing on the architectural layering. It impacts code quality, maintainability, and adherence to coding standards, making it relevant to the 'Language Basics' category.",[]
1055,Multiple Inheritance from Concrete Classes,"The product contains a class with inheritance from more than
					one concrete class.",CPP Language specific weakness,CPP Language specific weakness.,Avoid using multiple inheritance with concrete classes. Consider using interfaces or abstract classes to define common behaviors.,['C++'],"Multiple inheritance is a feature specific to languages like C++ that allows a class to inherit from more than one base class. It can lead to complexity and ambiguity, especially with the Diamond Problem. This CWE is tagged as C++ specific because C++ supports multiple inheritance from concrete classes, which is not common in many other programming languages.",[]
1056,Invokable Control Element with Variadic Parameters,"A named-callable or method control element has a signature that
					supports a variable (variadic) number of parameters or arguments.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Avoid using variadic parameters unless absolutely necessary, as they can lead to unclear APIs and potential misuse. If used, ensure thorough documentation and input validation to prevent unexpected behavior.",Language-agnostic,"This CWE involves the use of variadic parameters which is a feature of many programming languages. The issue stems from language syntax and the resulting code complexity and maintainability concerns, making it a language basics issue.",[]
1057,Data Access Operations Outside of Expected Data Manager Component,"The product uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",Database,"SQL or NoSQL queries, ORM frameworks, transaction management.",Ensure all data access operations are routed through the designated data manager component. Review code for direct database access and refactor such operations to use the data manager. Implement access control policies within the data manager to prevent unauthorized access.,Language-agnostic,"This CWE is related to the improper use of a central data manager component for handling data operations, which directly aligns with database management practices, including transaction management and query execution.",[]
1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,"The code contains a function or method that
		 operates in a multi-threaded environment but owns an unsafe non-final
		                     static storable or member data element.",Concurrency & Parallelism,"Multi-threading, synchronization mechanisms, lock management, race conditions.",Ensure that static variables shared across threads are immutable or properly synchronized to prevent race conditions.,Language-agnostic,"This CWE deals with issues arising in a multi-threaded environment where improper handling of static variables can lead to race conditions and inconsistent state, which are typical concerns in concurrency and parallelism.",[]
1059,Insufficient Technical Documentation,"The product does not contain sufficient
         technical or engineering documentation (whether on paper or
         in electronic form) that contains descriptions of all the
         relevant software/hardware elements of the product, such as
         its usage, structure, architectural components, interfaces, design, implementation,
         configuration, operation, etc.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Ensure comprehensive technical documentation is created and maintained, covering all aspects of the software/hardware, including usage, structure, architecture, interfaces, design, and operation.",Language-agnostic,"The lack of sufficient technical documentation affects code quality, maintainability, and understanding across all programming languages. Proper documentation is a fundamental aspect of language basics and coding standards.",[]
106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",Input Validation & Sanitization,"Sanitizing user input, type checks, length checks, preventing injections.",Utilize a robust input validation framework like Struts Validator to ensure all user inputs are properly validated and sanitized.,Java Language specific weakness,"The CWE is related to the lack of using a specific framework (Struts Validator) for input validation in Java applications, making it relevant to input validation and sanitization.","['Web Development, API & Web Services']"
1060,Excessive Number of Inefficient Server-Side Data Accesses,The product performs too many data queries without using efficient data processing functionality such as stored procedures.,Database,"SQL or NoSQL queries, ORM frameworks, transaction management.","Use efficient data access techniques such as batching queries, leveraging stored procedures, or using caching mechanisms to minimize database access overhead.",Language-agnostic,"This CWE involves the inefficient access of data on the server side, which is directly related to database operations such as SQL or NoSQL queries. The problem arises when multiple inefficient queries are executed, which is a classic database-related issue.","['Web Development, API & Web Services']"
1061,Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Use access modifiers (e.g., private, protected) to encapsulate data and methods appropriately, ensuring that only intended parts of the codebase have access to internal components. Design interfaces and abstract classes to separate the internal implementation from external access.",Language-agnostic,"Insufficient Encapsulation relates to how internal data and methods are exposed, which is a fundamental concept of object-oriented design and core programming practices. It impacts code quality, maintainability, and the ability to adhere to coding standards, which makes it relevant to the Language Basics category.",[]
1062,Parent Class with References to Child Class,"The code has a parent class that contains references to a child class, its methods, or its members.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.","Ensure that the parent class is designed to be independent of specific child class implementations. Use interfaces or abstract classes to define contracts, and employ dependency injection or composition to avoid tight coupling between parent and child classes.",Language-agnostic,"This CWE involves issues with class design and object-oriented principles, which are fundamental aspects of language basics. It affects maintainability and can lead to complex code structures if not managed properly.",[]
1063,Creation of Class Instance within a Static Code Block,A static code block creates an instance of a class.,Java Language specific weakness,Java Language specific weakness.,"Avoid creating class instances in static code blocks; instead, use lazy initialization or other design patterns to control the instantiation lifecycle.",['Java'],"This CWE specifically pertains to Java's static code blocks, where creating instances of a class can lead to issues such as improper initialization, increased memory usage, and potential threading issues. It highlights a misuse of Java language features.",['Language Basics']
1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,"The product contains a function, subroutine, or method whose signature has an unnecessarily large number of
					parameters/arguments.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.","Refactor the code to reduce the number of parameters by using structures, classes, or objects to encapsulate related parameters. This improves code readability and maintainability.",Language-agnostic,"The CWE involves an issue with function signatures which affects code readability, complexity, and maintainability, making it a core language issue applicable to any programming language.",[]
1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,"The product uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",Memory & Resource Management,"Dynamic allocation, stack vs. heap usage, pointer arithmetic, resource leaks.","Use the API provided by the application server for resource management to ensure proper allocation, usage, and release of resources.",Language-agnostic,"This CWE deals with the improper use of low-level resource management functions in an environment that provides higher-level APIs for such tasks. It primarily concerns the management of resources in terms of their allocation and deallocation, which directly relates to Memory & Resource Management.","['Web Development, API & Web Services', 'Configuration Errors & Hardcoding']"
1066,Missing Serialization Control Element,"The product contains a serializable data element that does not
					have an associated serialization method.",Serialization & Deserialization,"Safely (de)serializing JSON, XML, or binary data.",Ensure that all serializable data elements have explicit and secure serialization methods. Validate and sanitize data before serialization and after deserialization to prevent data integrity and security issues.,Language-agnostic,"The CWE 1066 pertains to serialization, which is a process that can be applied across multiple programming languages to convert data structures or object states into a format that can be stored or transmitted and reconstructed later. The issue arises from the lack of control elements in the serialization process, leading to potential security vulnerabilities.",[]
1067,Excessive Execution of Sequential Searches of Data Resource,"The product contains a data query against an SQL table or view
					that is configured in a way that does not utilize an index and may cause
					sequential searches to be performed.",Database,"SQL or NoSQL queries, ORM frameworks, transaction management.",Ensure that appropriate indexes are created and utilized for database tables to optimize query performance and prevent excessive sequential searches.,Language-agnostic,"This CWE involves SQL queries that are not optimized due to the lack of indexing, leading to inefficient data retrieval operations. It is directly related to database management and query optimization practices.",[]
1068,Inconsistency Between Implementation and Documented Design,"The implementation of the product is not consistent with the
					design as described within the relevant documentation.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability and other code quality attributes.",Ensure regular reviews and updates of both documentation and code to align with each other. Implement a robust documentation process and enforce adherence to design documents during development.,Language-agnostic,"This CWE relates to inconsistencies between the documented design and the actual implementation, which are core quality issues relevant to code complexity, maintainability, and standards adherence, applicable across all programming languages.",[]
1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",Error Handling,Exception capturing and handling.,"Ensure exception handling blocks contain logic to handle or log the exception, or provide a rationale for suppressing it if it's truly ignorable.",Language-agnostic,"An empty exception block indicates improper handling of potential errors or exceptions in the code, which is a fundamental aspect of error handling.",['Language Basics']
107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,"Web Development, API & Web Services","Backend frameworks, REST APIs, session management, front-end integration. Building/consuming RESTful APIs, microservices, GraphQL.",Ensure that all validation forms are actively used in the application. Regularly review and update validation logic to match current requirements. Remove any obsolete forms to maintain code quality and security.,Java Language specific weakness,"The CWE is related to the Struts framework, which is predominantly used in Java for web application development. Ensuring up-to-date validation forms is crucial in maintaining the integrity of the web application.","['Input Validation & Sanitization', 'Configuration Errors & Hardcoding']"
1070,Serializable Data Element Containing non-Serializable Item Elements,"The product contains a serializable, storable data element such as a field or member,
					but the data element contains member elements that are not
					serializable.",Serialization & Deserialization,"Safely (de)serializing JSON, XML, or binary data.","Ensure all member elements within a serializable data element are also serializable, or implement custom serialization logic to handle non-serializable items.",Language-agnostic,"This CWE is directly related to issues that arise during the serialization and deserialization process, specifically involving data elements that contain non-serializable items. It impacts how data is serialized into a storable format and requires special handling to avoid runtime errors.",[]
1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.",Ensure all code blocks contain meaningful logic or remove the block if it's unnecessary. Review code for unintended empty blocks which may indicate incomplete logic or oversight.,Language-agnostic,Empty code blocks are considered a core language syntax issue that can affect code quality and maintainability across all programming languages. They represent an oversight in control flow and can lead to misunderstandings or misinterpretations of the code's intent.,[]
1072,Data Resource Access without Use of Connection Pooling,"The product accesses a data resource through a database without using a
					connection pooling capability.",Database,"SQL or NoSQL queries, ORM frameworks, transaction management.","Implement connection pooling to manage database connections efficiently, reducing the overhead of establishing and closing connections for every database operation.",Language-agnostic,"The issue pertains to how database connections are managed, specifically the inefficiency and resource strain of not using connection pooling. This is a key consideration in database management and not tied to any specific programming language.",['Memory & Resource Management']
1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",Database,"SQL or NoSQL queries, ORM frameworks, transaction management.","Optimize the number of database queries by leveraging database capabilities such as batch processing, joins, and stored procedures to minimize excessive data access operations.",Language-agnostic,"This CWE is categorized under 'Database' because it involves inefficient usage of data access patterns in a database context. The issue arises from not leveraging the database's full capabilities, leading to excessive and inefficient data queries.","['Language Basics', 'Memory & Resource Management']"
1074,Class with Excessively Deep Inheritance,"A class has an inheritance level that is too high, i.e., it
					has a large number of parent classes.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.",Limit the inheritance depth to maintain code simplicity and enhance maintainability. Consider using composition over inheritance to reduce complexity.,Language-agnostic,"This CWE relates to code quality issues that arise from deep inheritance hierarchies, affecting the maintainability and complexity of the code across multiple languages. It falls under the broader category of Language Basics as it deals with core design principles in object-oriented programming.",[]
1075,Unconditional Control Flow Transfer outside of Switch Block,"The product performs unconditional control transfer (such as a
					""goto"") in code outside of a branching structure such as a switch
					block.",Language Basics,"Core language syntax, variables, data types, control flow, Code Quality Issues, Improper Adherence to Coding Standards. This is applicable for all languages and tasks. Consider the code complexity, maintainability, and other code quality attributes.",Avoid using unconditional control flow statements like 'goto' outside of controlled structures like switch blocks. Use structured programming constructs to ensure maintainable and predictable code flow.,Language-agnostic,"The use of unconditional control flow transfers such as 'goto' affects the readability, maintainability, and logical structure of the code. This issue pertains to fundamental aspects of language control flow, which is relevant across multiple programming languages.",[]
